id,title,text
350,As if some caravan of sound,"On deserts, in the sky,
Had broken rank,
Then knit, and passed
In seamless company."
351,Poem 351,XXV.
352,Poem 352,DEATH AND LIFE.
353,Apparently with no surprise,"To any happy flower,
The frost beheads it at its play
In accidental power.
The blond assassin passes on,
The sun proceeds unmoved
To measure off another day
For an approving God."
354,Poem 354,XXVI.
355,'T was later when the summer went,"Than when the cricket came,
And yet we knew that gentle clock
Meant nought but going home."
356,'T was sooner when the cricket went,"Than when the winter came,
Yet that pathetic pendulum
Keeps esoteric time."
357,Poem 357,XXVII.
358,Poem 358,INDIAN SUMMER.
359,"These are the days when birds come back,","A very few, a bird or two,
To take a backward look."
360,These are the days when skies put on,"The old, old sophistries of June, –
A blue and gold mistake."
361,"Oh, fraud that cannot cheat the bee,","Almost thy plausibility
Induces my belief,"
362,"Till ranks of seeds their witness bear,","And softly through the altered air
Hurries a timid leaf!"
363,"Oh, sacrament of summer days,","Oh, last communion in the haze,
Permit a child to join,"
364,"Thy sacred emblems to partake,","Thy consecrated bread to break,
Taste thine immortal wine!"
365,Poem 365,XXVIII.
366,Poem 366,AUTUMN.
367,"The morns are meeker than they were,","The nuts are getting brown;
The berry's cheek is plumper,
The rose is out of town."
368,"The maple wears a gayer scarf,","The field a scarlet gown.
Lest I should be old–fashioned,
I'll put a trinket on."
369,Poem 369,XXIX.
370,Poem 370,BECLOUDED.
371,"The sky is low, the clouds are mean,","A travelling flake of snow
Across a barn or through a rut
Debates if it will go."
372,A narrow wind complains all day,"How some one treated him;
Nature, like us, is sometimes caught
Without her diadem."
373,Poem 373,XXX.
374,Poem 374,THE HEMLOCK.
375,I think the hemlock likes to stand,"Upon a marge of snow;
It suits his own austerity,
And satisfies an awe"
376,"That men must slake in wilderness,","Or in the desert cloy, –
An instinct for the hoar, the bald,
Lapland's necessity."
377,The hemlock's nature thrives on cold;,"The gnash of northern winds
Is sweetest nutriment to him,
His best Norwegian wines."
378,To satin races he is nought;,"But children on the Don
Beneath his tabernacles play,
And Dnieper wrestlers run."
379,Poem 379,XXXI.
380,"There's a certain slant of light,","On winter afternoons,
That oppresses, like the weight
Of cathedral tunes."
381,Heavenly hurt it gives us;,"We can find no scar,
But internal difference
Where the meanings are."
382,"None may teach it anything,","'T is the seal, despair, –
An imperial affliction
Sent us of the air."
383,"When it comes, the landscape listens,","Shadows hold their breath;
When it goes, 't is like the distance
On the look of death."
384,Poem 384,IV. TIME AND ETERNITY.
385,Poem 385,I.
386,"One dignity delays for all,","One mitred afternoon.
None can avoid this purple,
None evade this crown."
387,"Coach it insures, and footmen,","Chamber and state and throng;
Bells, also, in the village,
As we ride grand along."
388,"What dignified attendants,","What service when we pause!
How loyally at parting
Their hundred hats they raise!"
389,"How pomp surpassing ermine,","When simple you and I
Present our meek escutcheon,
And claim the rank to die!"
390,Poem 390,II.
391,Poem 391,TOO LATE.
392,"Delayed till she had ceased to know,","Delayed till in its vest of snow
Her loving bosom lay.
An hour behind the fleeting breath,
Later by just an hour than death, –
Oh, lagging yesterday!"
393,Could she have guessed that it would be;,"Could but a crier of the glee
Have climbed the distant hill;
Had not the bliss so slow a pace, –
Who knows but this surrendered face
Were undefeated still?"
394,"Oh, if there may departing be","Any forgot by victory
In her imperial round,
Show them this meek apparelled thing,
That could not stop to be a king,
Doubtful if it be crowned!"
395,Poem 395,III.
396,Poem 396,ASTRA CASTRA.
397,"Departed to the judgment,","A mighty afternoon;
Great clouds like ushers leaning,
Creation looking on."
398,"The flesh surrendered, cancelled,","The bodiless begun;
Two worlds, like audiences, disperse
And leave the soul alone."
399,Poem 399,IV.
400,"Safe in their alabaster chambers,","Untouched by morning and untouched by noon,
Sleep the meek members of the resurrection,
Rafter of satin, and roof of stone."
401,Light laughs the breeze in her castle of sunshine;,"Babbles the bee in a stolid ear;
Pipe the sweet birds in ignorant cadence, –
Ah, what sagacity perished here!"
402,Grand go the years in the crescent above them;,"Worlds scoop their arcs, and firmaments row,
Diadems drop and Doges surrender,
Soundless as dots on a disk of snow."
403,Poem 403,V.
404,"On this long storm the rainbow rose,","On this late morn the sun;
The clouds, like listless elephants,
Horizons straggled down."
405,"The birds rose smiling in their nests,","The gales indeed were done;
Alas! how heedless were the eyes
On whom the summer shone!"
406,The quiet nonchalance of death,"No daybreak can bestir;
The slow archangel's syllables
Must awaken her."
407,Poem 407,VI.
408,Poem 408,FROM THE CHRYSALIS.
409,"My cocoon tightens, colors tease,","I'm feeling for the air;
A dim capacity for wings
Degrades the dress I wear."
410,A power of butterfly must be,"The aptitude to fly,
Meadows of majesty concedes
And easy sweeps of sky."
411,So I must baffle at the hint,"And cipher at the sign,
And make much blunder, if at last
I take the clew divine."
412,Poem 412,VII.
413,Poem 413,SETTING SAIL.
414,Exultation is the going,"Of an inland soul to sea, –
Past the houses, past the headlands,
Into deep eternity!"
415,"Bred as we, among the mountains,","Can the sailor understand
The divine intoxication
Of the first league out from land?"
416,Poem 416,VIII.
417,"Look back on time with kindly eyes,","He doubtless did his best;
How softly sinks his trembling sun
In human nature's west!"
418,Poem 418,IX.
419,"A train went through a burial gate,","A bird broke forth and sang,
And trilled, and quivered, and shook his throat
Till all the churchyard rang;"
420,"And then adjusted his little notes,","And bowed and sang again.
Doubtless, he thought it meet of him
To say good–by to men."
421,Poem 421,X.
422,"I died for beauty, but was scarce","Adjusted in the tomb,
When one who died for truth was lain
In an adjoining room."
423,He questioned softly why I failed?,"""For beauty,"" I replied.
""And I for truth, – the two are one;
We brethren are,"" he said."
424,"And so, as kinsmen met a night,","We talked between the rooms,
Until the moss had reached our lips,
And covered up our names."
425,Poem 425,XI.
426,Poem 426,"""TROUBLED ABOUT MANY THINGS."""
427,"How many times these low feet staggered,","Only the soldered mouth can tell;
Try! can you stir the awful rivet?
Try! can you lift the hasps of steel?"
428,"Stroke the cool forehead, hot so often,","Lift, if you can, the listless hair;
Handle the adamantine fingers
Never a thimble more shall wear."
429,Buzz the dull flies on the chamber window;,"Brave shines the sun through the freckled pane;
Fearless the cobweb swings from the ceiling –
Indolent housewife, in daisies lain!"
430,Poem 430,XII.
431,Poem 431,REAL.
432,"I like a look of agony,","Because I know it 's true;
Men do not sham convulsion,
Nor simulate a throe."
433,"The eyes glaze once, and that is death.","Impossible to feign
The beads upon the forehead
By homely anguish strung."
434,Poem 434,XIII.
435,Poem 435,THE FUNERAL.
436,"That short, potential stir","That each can make but once,
That bustle so illustrious
'T is almost consequence,"
437,Is the eclat of death.,"Oh, thou unknown renown
That not a beggar would accept,
Had he the power to spurn!"
438,Poem 438,XIV.
439,"I went to thank her,","But she slept;
Her bed a funnelled stone,
With nosegays at the head and foot,
That travellers had thrown,"
440,Who went to thank her;,"But she slept.
'T was short to cross the sea
To look upon her like, alive,
But turning back 't was slow."
441,Poem 441,XV.
442,I've seen a dying eye,"Run round and round a room
In search of something, as it seemed,
Then cloudier become;
And then, obscure with fog,
And then be soldered down,
Without disclosing what it be,
'T were blessed to have seen."
443,Poem 443,XVI.
444,Poem 444,REFUGE.
445,"The clouds their backs together laid,","The north begun to push,
The forests galloped till they fell,
The lightning skipped like mice;
The thunder crumbled like a stuff –
How good to be safe in tombs,
Where nature's temper cannot reach,
Nor vengeance ever comes!"
446,Poem 446,XVII.
447,"I never saw a moor,","I never saw the sea;
Yet know I how the heather looks,
And what a wave must be."
448,"I never spoke with God,","Nor visited in heaven;
Yet certain am I of the spot
As if the chart were given."
449,Poem 449,XVIII.
450,Poem 450,PLAYMATES.
451,God permits industrious angels,"Afternoons to play.
I met one, – forgot my school–mates,
All, for him, straightway."
452,God calls home the angels promptly,"At the setting sun;
I missed mine. How dreary marbles,
After playing Crown!"
453,Poem 453,XIX.
454,To know just how he suffered would be dear;,"To know if any human eyes were near
To whom he could intrust his wavering gaze,
Until it settled firm on Paradise."
455,"To know if he was patient, part content,","Was dying as he thought, or different;
Was it a pleasant day to die,
And did the sunshine face his way?"
456,"What was his furthest mind, of home, or God,","Or what the distant say
At news that he ceased human nature
On such a day?"
457,"And wishes, had he any?","Just his sigh, accented,
Had been legible to me.
And was he confident until
Ill fluttered out in everlasting well?"
458,"And if he spoke, what name was best,","What first,
What one broke off with
At the drowsiest?"
459,"Was he afraid, or tranquil?","Might he know
How conscious consciousness could grow,
Till love that was, and love too blest to be,
Meet – and the junction be Eternity?"
460,Poem 460,XX.
461,"The last night that she lived,","It was a common night,
Except the dying; this to us
Made nature different."
462,"We noticed smallest things, –","Things overlooked before,
By this great light upon our minds
Italicized, as 't were."
463,That others could exist,"While she must finish quite,
A jealousy for her arose
So nearly infinite."
464,We waited while she passed;,"It was a narrow time,
Too jostled were our souls to speak,
At length the notice came."
465,"She mentioned, and forgot;","Then lightly as a reed
Bent to the water, shivered scarce,
Consented, and was dead."
